battery_percentage,battery_age_years,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,top_speed_kmph,total_power_kw,total_torque_nm,battery_capacity_kwh,battery_per_kWh,battery_remaining_kWh,electric_range_km
81.27,9.55,hot,-0.92,33.33,0.74,no,Sport,FWD,124.48,122.41,175.28,59.46,1.37,48.32,371.33
22.58,0.03,mild,-2.36,82.19,0.53,no,Normal,FWD,143.07,114.92,311.23,78.2,0.29,17.66,337.38
71.0,9.65,mild,-0.7,43.24,0.59,no,Sport,FWD,160.74,55.99,155.37,84.43,0.84,59.95,452.77
16.95,7.93,mild,0.87,74.94,0.88,yes,Eco,FWD,121.25,159.87,353.14,45.88,0.37,7.78,238.31
86.31,4.35,mild,2.3,81.26,0.74,yes,Sport,RWD,161.79,111.47,520.61,59.02,1.46,50.94,388.27
93.71,5.7,mild,1.55,44.68,0.95,no,Sport,RWD,222.61,165.92,218.89,83.86,1.12,78.59,519.25
35.32,0.68,cold,0.67,95.63,0.2,yes,Eco,FWD,219.89,169.29,337.07,98.73,0.36,34.87,367.81
69.97,6.03,cold,4.94,49.85,0.94,no,Eco,FWD,224.85,190.36,421.75,67.87,1.03,47.49,368.98
85.1,5.29,mild,3.37,79.17,1.0,no,Normal,RWD,122.32,75.04,393.91,56.26,1.51,47.88,400.02
33.16,5.27,mild,0.05,35.26,0.06,no,Sport,FWD,194.7,144.72,561.69,76.26,0.43,25.29,330.32
82.1,3.19,cold,3.15,36.74,0.07,no,Normal,FWD,126.78,165.02,498.33,99.04,0.83,81.31,542.85
65.94,9.2,cold,4.36,37.09,0.7,yes,Eco,RWD,130.3,50.12,313.41,56.7,1.16,37.39,299.2
44.67,0.86,cold,3.91,103.21,0.94,yes,Normal,RWD,220.31,184.1,406.19,45.85,0.97,20.48,232.03
88.66,2.7,mild,3.24,51.95,0.46,yes,Sport,FWD,209.73,197.46,502.17,82.06,1.08,72.75,514.36
12.49,5.65,hot,2.98,51.55,0.13,yes,Eco,FWD,126.37,100.22,460.82,79.09,0.16,9.88,263.81
48.4,4.93,mild,-0.67,56.88,0.51,yes,Normal,RWD,223.67,90.44,190.95,77.47,0.62,37.5,380.24
33.83,6.43,cold,-3.95,112.2,0.62,no,Normal,FWD,185.39,90.21,312.94,36.93,0.92,12.49,207.77
46.36,0.42,cold,1.82,104.3,0.32,yes,Sport,FWD,206.41,77.26,160.06,95.32,0.49,44.19,352.61
62.8,7.04,mild,-3.2,21.07,0.79,no,Normal,FWD,157.31,170.19,519.24,75.79,0.83,47.6,394.15
93.71,0.93,hot,4.89,87.14,0.21,yes,Normal,RWD,248.56,140.13,193.23,72.52,1.29,67.96,498.03
20.56,2.52,hot,-2.6,70.18,0.9,no,Sport,FWD,206.99,159.68,410.68,63.22,0.33,13.0,240.67
88.2,6.48,hot,-3.23,37.78,0.77,yes,Sport,RWD,207.56,122.29,417.12,55.72,1.58,49.15,364.34
50.95,4.33,hot,-4.33,116.83,0.11,no,Normal,RWD,125.02,106.59,254.34,99.04,0.51,50.46,420.07
91.97,1.8,mild,3.57,49.09,0.51,yes,Normal,FWD,231.08,189.8,152.78,41.43,2.22,38.1,380.9
46.14,4.65,cold,4.04,91.92,0.2,no,Normal,FWD,245.8,108.66,567.9,84.49,0.55,38.98,352.07
68.63,5.75,cold,2.24,46.9,0.8,yes,Sport,FWD,148.82,161.31,439.56,63.77,1.08,43.77,320.26
56.98,4.12,mild,2.72,65.89,0.47,no,Normal,RWD,198.82,172.99,254.52,93.96,0.61,53.54,455.62
22.96,3.55,cold,-3.32,126.16,0.08,no,Eco,FWD,128.2,67.72,530.52,63.05,0.36,14.48,272.62
72.68,8.22,hot,0.04,28.74,0.41,yes,Eco,FWD,239.01,58.17,439.07,62.78,1.16,45.63,370.26
22.61,5.83,mild,-4.39,20.22,0.98,no,Normal,RWD,181.08,93.9,388.94,65.59,0.34,14.83,272.45
64.16,3.92,hot,-3.17,115.13,0.09,no,Sport,RWD,174.96,147.34,481.78,79.07,0.81,50.73,395.39
97.42,0.49,cold,-3.95,125.76,0.95,no,Sport,RWD,187.31,179.77,318.61,74.41,1.31,72.49,456.1
25.3,1.64,cold,1.56,107.0,0.65,no,Normal,RWD,126.55,64.91,400.37,92.18,0.27,23.32,288.39
86.6,2.79,hot,2.95,48.94,0.97,yes,Eco,RWD,208.72,139.63,574.6,85.46,1.01,74.01,492.32
87.98,3.32,mild,1.73,59.52,0.52,no,Eco,RWD,208.22,60.06,345.78,33.75,2.61,29.69,395.67
84.21,4.09,hot,-2.31,98.58,0.3,no,Normal,RWD,234.8,137.75,376.71,85.88,0.98,72.32,516.7
89.51,2.09,cold,1.17,30.14,0.04,yes,Sport,FWD,149.35,59.89,167.55,71.93,1.24,64.38,453.98
87.31,3.79,mild,-1.5,113.15,0.29,yes,Sport,RWD,193.56,131.15,168.28,96.59,0.9,84.33,527.4
98.07,7.1,mild,2.98,28.57,0.81,no,Eco,RWD,137.66,83.72,162.55,58.46,1.68,57.33,450.63
