hydrogen_percentage,fuel_cell_age_years,fuel_cell_efficiency,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,cargo_volume_liters,top_speed_kmph,total_power_kw,total_torque_nm,range_in_km
14.04,14.92,52.7,cold,-2.89,69.33,0.91,no,sport,FWD,1471.06,170.23,123.49,295.37,404.11
64.09,13.24,43.98,cold,-3.6,41.57,0.79,yes,sport,AWD,506.49,243.96,97.91,836.83,427.4
86.08,12.67,58.54,mild,-2.61,71.56,0.63,no,eco,AWD,543.99,219.83,188.52,632.99,613.52
72.91,14.43,58.34,mild,4.54,101.43,0.43,no,sport,RWD,1975.96,199.83,143.35,115.73,483.42
52.77,11.94,64.44,hot,4.15,98.58,0.64,no,eco,FWD,710.04,273.24,247.8,831.27,603.13
62.34,5.22,42.95,mild,3.86,72.25,0.79,yes,normal,RWD,623.04,270.95,107.41,700.79,486.58
11.89,5.5,41.01,cold,2.7,88.2,0.94,yes,eco,FWD,1002.68,293.81,174.86,574.08,440.61
49.19,4.42,46.77,cold,2.23,76.08,0.74,no,normal,AWD,512.08,160.13,88.52,642.09,521.87
31.3,0.8,41.16,cold,-4.13,58.57,0.7,yes,eco,FWD,1578.1,257.25,179.66,737.68,527.01
96.87,0.07,56.01,hot,-3.99,111.73,0.51,yes,normal,AWD,1119.96,203.65,146.73,604.1,589.6
63.79,4.2,50.54,mild,3.36,78.93,0.63,no,eco,FWD,647.21,168.31,137.08,497.8,599.53
37.36,14.56,54.11,mild,-4.09,45.39,0.88,yes,sport,RWD,941.5,215.84,186.99,501.61,463.8
24.85,12.57,61.02,mild,-1.55,70.52,0.71,no,sport,FWD,1338.8,283.67,61.85,407.88,441.92
14.39,0.91,64.66,cold,4.47,96.47,0.24,yes,normal,RWD,447.84,247.12,121.67,992.81,513.68
62.53,0.16,50.24,cold,3.95,37.23,0.83,yes,normal,RWD,502.53,222.32,208.75,399.87,592.29
59.83,8.8,50.13,cold,1.29,92.11,0.49,no,sport,RWD,1148.17,181.29,107.0,161.85,502.49
47.9,11.04,41.29,hot,1.28,109.25,0.75,yes,eco,FWD,1056.78,158.51,132.67,940.72,459.77
60.56,3.2,50.37,mild,4.13,113.36,0.33,yes,sport,AWD,719.13,180.69,185.65,755.98,515.38
